fname,label
00063640.wav,Scissors Shatter Finger_snapping
0013a1db.wav,Flute Violin_or_fiddle Electric_piano
002bb878.wav,Bass_drum Computer_keyboard Knock
002d392d.wav,Bass_drum Double_bass Knock
00326aa9.wav,Oboe Saxophone Electric_piano
0038a046.wav,Bass_drum Knock Writing
003995fa.wav,Squeak Meow Chime
005ae625.wav,Flute Saxophone Trumpet
007759c4.wav,Flute Telephone Clarinet
008afd93.wav,Saxophone Trumpet Violin_or_fiddle
00a161c0.wav,Cello Double_bass Gong
00a7a2f6.wav,Clarinet Flute Saxophone
00ae03f6.wav,Chime Harmonica Squeak
00b2404e.wav,Cello Double_bass Acoustic_guitar
00beb030.wav,Clarinet Saxophone Flute
00c4d5b8.wav,Acoustic_guitar Gong Knock
00c92c05.wav,Saxophone Acoustic_guitar Clarinet
00ccf065.wav,Bass_drum Electric_piano Snare_drum
00d0ab77.wav,Clarinet Saxophone Cello
00dffe3a.wav,Bass_drum Double_bass Hi-hat
00e33205.wav,Clarinet Saxophone Flute
00e7ed07.wav,Flute Violin_or_fiddle Saxophone
00eac343.wav,Electric_piano Flute Squeak
00f2f692.wav,Hi-hat Gong Trumpet
0102a895.wav,Cello Double_bass Gong
010a0b3a.wav,Hi-hat Tambourine Shatter
010eed01.wav,Trumpet Knock Snare_drum
01115622.wav,Hi-hat Shatter Tearing
01198b7e.wav,Clarinet Violin_or_fiddle Flute
01207ce5.wav,Hi-hat Tearing Snare_drum
0137bfba.wav,Applause Fart Snare_drum
014eb52e.wav,Flute Trumpet Saxophone
01608fa3.wav,Bass_drum Double_bass Electric_piano
0169348e.wav,Clarinet Trumpet Cello
016e52da.wav,Flute Violin_or_fiddle Clarinet
0183b482.wav,Flute Saxophone Acoustic_guitar
0185de6b.wav,Acoustic_guitar Snare_drum Cello
01a5a2a3.wav,Bark Cough Fireworks
01aed32a.wav,Saxophone Flute Acoustic_guitar
01afccc5.wav,Acoustic_guitar Flute Cello
01b4cdb5.wav,Acoustic_guitar Flute Meow
01b85217.wav,Clarinet Flute Saxophone
01bb344f.wav,Acoustic_guitar Cello Trumpet
01bede12.wav,Trumpet Flute Saxophone
01c9d6d3.wav,Clarinet Flute Saxophone
01e628cb.wav,Clarinet Flute Saxophone
01e6e112.wav,Acoustic_guitar Fart Cough
01e99e2d.wav,Cello Violin_or_fiddle Flute
01eccb6e.wav,Clarinet Saxophone Flute
01f27f99.wav,Squeak Keys_jangling Laughter
01f29edb.wav,Clarinet Violin_or_fiddle Oboe
01f9883e.wav,Acoustic_guitar Cough Squeak
01fd22ba.wav,Flute Saxophone Telephone
01fe4a01.wav,Tearing Fireworks Squeak
02107093.wav,Electric_piano Flute Gong
02182ebd.wav,Hi-hat Tearing Snare_drum
02198549.wav,Scissors Writing Tearing
0220d48a.wav,Bass_drum Snare_drum Cowbell
02210ee7.wav,Flute Saxophone Oboe
022170df.wav,Clarinet Saxophone Oboe
023431b2.wav,Harmonica Trumpet Flute
023e7db3.wav,Flute Trumpet Saxophone
023eab1f.wav,Double_bass Flute Bus
02482fdc.wav,Acoustic_guitar Violin_or_fiddle Double_bass
024e45b1.wav,Cello Saxophone Flute
026820e6.wav,Snare_drum Fart Cowbell
02697329.wav,Bass_drum Electric_piano Flute
027a8b14.wav,Telephone Flute Hi-hat
027dbe3e.wav,Bass_drum Double_bass Knock
027f06cc.wav,Violin_or_fiddle Squeak Harmonica
028278f0.wav,Meow Gong Trumpet
028db587.wav,Double_bass Knock Bass_drum
02960f07.wav,Scissors Tearing Shatter
0298b2c6.wav,Flute Saxophone Trumpet
02a0eb3c.wav,Acoustic_guitar Squeak Meow
02ad476f.wav,Squeak Fireworks Laughter
02af55f6.wav,Acoustic_guitar Electric_piano Flute
02c3af87.wav,Trumpet Saxophone Oboe
02c46d0b.wav,Acoustic_guitar Double_bass Cello
02c6f112.wav,Violin_or_fiddle Cello Flute
02cb4d01.wav,Bass_drum Acoustic_guitar Trumpet
02d5dc55.wav,Bass_drum Snare_drum Knock
02d9b93c.wav,Flute Clarinet Saxophone
02df943b.wav,Bass_drum Cowbell Double_bass
02e99b5e.wav,Cello Squeak Snare_drum
02f8d82c.wav,Trumpet Flute Saxophone
02fb6c5b.wav,Knock Bass_drum Gunshot_or_gunfire
0300b76b.wav,Acoustic_guitar Cough Laughter
0303e3a5.wav,Bass_drum Cello Double_bass
03079bb2.wav,Writing Computer_keyboard Scissors
030bacc6.wav,Cello Microwave_oven Snare_drum
030db750.wav,Squeak Telephone Meow
0310089a.wav,Flute Glockenspiel Tambourine
0316ff65.wav,Bass_drum Fireworks Knock
03199dbe.wav,Cello Knock Trumpet
031b6d8f.wav,Flute Oboe Saxophone
03319789.wav,Violin_or_fiddle Trumpet Flute
033a0cbe.wav,Bass_drum Electric_piano Saxophone
0345130c.wav,Trumpet Applause Saxophone
034b1b41.wav,Flute Oboe Violin_or_fiddle
034c1c69.wav,Flute Violin_or_fiddle Saxophone
035e420f.wav,Hi-hat Tearing Shatter
036c1697.wav,Acoustic_guitar Computer_keyboard Electric_piano
036f228c.wav,Clarinet Oboe Saxophone
03786473.wav,Squeak Chime Violin_or_fiddle
037e7b6f.wav,Cello Violin_or_fiddle Flute
0381efd3.wav,Double_bass Cello Trumpet
038397e9.wav,Bass_drum Acoustic_guitar Tambourine
03858091.wav,Bass_drum Double_bass Cello
03888259.wav,Gong Cello Acoustic_guitar
0394e0d4.wav,Hi-hat Tearing Trumpet
03953467.wav,Flute Trumpet Violin_or_fiddle
039d36e9.wav,Cello Violin_or_fiddle Flute
03ab8828.wav,Knock Fireworks Microwave_oven
03af84e5.wav,Clarinet Oboe Saxophone
03b7faf1.wav,Writing Computer_keyboard Tearing
03c1c5f4.wav,Flute Clarinet Oboe
03c5bfbb.wav,Gunshot_or_gunfire Fireworks Tearing
03d2bdca.wav,Clarinet Cello Saxophone
03d5a89c.wav,Flute Violin_or_fiddle Saxophone
03e1e393.wav,Acoustic_guitar Burping_or_eructation Fart
03e2ecd9.wav,Acoustic_guitar Cowbell Electric_piano
03e860b2.wav,Trumpet Flute Saxophone
03f2e21f.wav,Cello Squeak Saxophone
03f39877.wav,Hi-hat Tambourine Tearing
03fafd5b.wav,Double_bass Electric_piano Gong
03fccc98.wav,Bass_drum Knock Gunshot_or_gunfire
0402129f.wav,Snare_drum Squeak Drawer_open_or_close
040258a9.wav,Cello Double_bass Knock
041521b0.wav,Bass_drum Fireworks Snare_drum
04154da3.wav,Bass_drum Electric_piano Flute
0419676b.wav,Clarinet Saxophone Flute
041983cd.wav,Acoustic_guitar Cello Gong
04199401.wav,Fart Cough Laughter
041c68ec.wav,Cello Violin_or_fiddle Gong
041c7581.wav,Cello Acoustic_guitar Gong
041eed83.wav,Drawer_open_or_close Microwave_oven Tearing
0422b811.wav,Squeak Flute Cough
0448c553.wav,Bass_drum Gunshot_or_gunfire Snare_drum
0448d513.wav,Cello Gong Trumpet
044aef8a.wav,Squeak Fart Chime
045931e0.wav,Flute Saxophone Telephone
0459ee65.wav,Clarinet Saxophone Flute
045c6122.wav,Bass_drum Gunshot_or_gunfire Snare_drum
045c9ea8.wav,Clarinet Flute Saxophone
04605af5.wav,Hi-hat Shatter Tearing
046250d3.wav,Cello Acoustic_guitar Snare_drum
046486df.wav,Computer_keyboard Squeak Tearing
0468ad68.wav,Cello Flute Clarinet
046e86b5.wav,Hi-hat Finger_snapping Tearing
047b5857.wav,Cello Gong Acoustic_guitar
047bf19c.wav,Clarinet Flute Violin_or_fiddle
